FWER,type,rho,cutoff
0.03731,Algo1 w1,0,0.003125
0.0387,Algo1 w2,0,0.003260334332046814
0.03872,Algo1 w2 prime,0,0.003261991594381815
0.03865,Algo2 w1,0,0.003254716693005771
0.03872,Algo2 w2,0,0.0032619237190272747
0.03872,Algo2 w2 prime,0,0.003262010784166711
0.03767,Algo1 w1,0.01,0.003125
0.03935,Algo1 w2,0.01,0.0032657834891166725
0.03935,Algo1 w2 prime,0.01,0.0032675539707102855
0.03929,Algo2 w1,0.01,0.0032597145041781683
0.03935,Algo2 w2,0.01,0.003267478706392455
0.03935,Algo2 w2 prime,0.01,0.0032675749772886845
0.03743,Algo1 w1,0.02,0.003125
0.03919,Algo1 w2,0.02,0.003271400653828591
0.0392,Algo1 w2 prime,0.02,0.0032732907789984425
0.0391,Algo2 w1,0.02,0.003264848979573603
0.0392,Algo2 w2,0.02,0.0032732074137858803
0.0392,Algo2 w2 prime,0.02,0.0032733137490998736
0.03707,Algo1 w1,0.03,0.003125
0.03877,Algo1 w2,0.03,0.0032771901593450065
0.03882,Algo1 w2 prime,0.03,0.0032792066549801697
0.0387,Algo2 w1,0.03,0.0032701225668418945
0.03881,Algo2 w2,0.03,0.003279114416520211
0.03882,Algo2 w2 prime,0.03,0.003279231745217579
0.03743,Algo1 w1,0.04,0.003125
0.03912,Algo1 w2,0.04,0.003283156480132636
0.03914,Algo1 w2 prime,0.04,0.0032853063884218823
0.03903,Algo2 w1,0.04,0.0032755377533496425
0.03914,Algo2 w2,0.04,0.003285204439399976
0.03914,Algo2 w2 prime,0.04,0.0032853337658363653
0.03704,Algo1 w1,0.05,0.003125
0.03895,Algo1 w2,0.05,0.0032893042389405777
0.03898,Algo1 w2 prime,0.05,0.0032915949306982083
0.03883,Algo2 w1,0.05,0.0032810970677661236
0.03898,Algo2 w2,0.05,0.0032914823639856325
0.03898,Algo2 w2 prime,0.05,0.0032916247733288393
0.0362,Algo1 w1,0.06,0.003125
0.03823,Algo1 w2,0.06,0.0032956382141740804
0.03823,Algo1 w2 prime,0.06,0.003298077402800243
0.03811,Algo2 w1,0.06,0.003286803081721953
0.03823,Algo2 w2,0.06,0.0032979532362690835
0.03823,Algo2 w2 prime,0.06,0.0032981099002801486
0.03605,Algo1 w1,0.07,0.003125
0.03776,Algo1 w2,0.07,0.00330216334770278
0.03778,Algo1 w2 prime,0.07,0.0033047591038143616
