i,n0,w1,G(w1),w2,G(w2)
1,16,0.003125,0.02182540517732655,0.007159088169520962,0.04800578698834777
2,15,0.0033333333333333335,0.021886826639252052,0.007614930634474211,0.0480073948157899
3,14,0.0035714285714285718,0.02196182133451225,0.008130993593450727,0.048011087804411115
4,13,0.0038461538461538464,0.02205394997874883,0.00871987523745179,0.04801753300567091
5,12,0.004166666666666667,0.022168040258849483,0.009397913884163335,0.04802765201136777
6,11,0.004545454545454546,0.022310790138353954,0.010186673168604107,0.04804272689199686
7,10,0.005,0.02249174784766237,0.011115187743223042,0.04806458225161406
8,9,0.005555555555555556,0.02272495053241616,0.012223471174625432,0.048095885299751506
9,8,0.00625,0.023031853078746594,0.01356816574556781,0.0481406130238476
10,7,0.0071428571428571435,0.02344682466496814,0.015232035136786079,0.04820489910734682
11,6,0.008333333333333333,0.02402831307649455,0.017340654141645366,0.0482985174135504
12,5,0.01,0.024883919472740632,0.020093297623299682,0.048437430132667984
13,4,0.0125,0.026233943233389262,0.02382409668419695,0.04864898285084755
14,3,0.016666666666666666,0.028606966770283723,0.029130433157246904,0.048979242596637065
15,2,0.025,0.03364452364951412,0.03715314899451853,0.04948952911288623
16,1,0.05,0.05,0.05000000000000001,0.05000000000000001
